Postcode,Lat,Lon,Average Price
BD47JL,53.781805,-1.737255,50000.0
BD47JG,53.781675,-1.735708,32250.0
BD128AY,53.745368,-1.768157,64000.0
BD215AB,53.852421,-1.918213,118000.0
BD175HE,53.851823,-1.773635,240000.0
BD175HF,53.851444,-1.768544,137250.0
BD46PU,53.755726,-1.704188,245000.0
BD59QQ,53.770139,-1.763894,45500.0
BD59QP,53.777657,-1.765597,72000.0
BD157RZ,53.798822,-1.816673,147000.0
BD206UG,53.884599,-1.920143,85000.0
BD232RA,53.951528,-2.019335,135000.0
BD161QP,53.832053,-1.830824,99000.0
BD240AB,54.065502,-2.289462,189950.0
BD207DA,53.901953,-1.988552,250000.0
BD207DB,53.901962,-1.987578,205000.0
BD161QJ,53.830268,-1.832837,105000.0
BD157RE,53.803153,-1.815910,52500.0
BD96NP,53.812528,-1.816081,75000.0
BD207DL,53.902528,-1.984930,147000.0
BD161QB,53.830542,-1.823538,87000.0
BD232RU,53.957165,-2.007938,80000.0
BD194AG,53.737815,-1.687228,192000.0
BD108ES,53.825831,-1.722732,53500.0
BD212NR,53.867693,-1.921012,60000.0
BD231SU,53.958643,-2.034685,89000.0
BD235RD,54.146325,-2.046447,125000.0
BD108EY,53.825635,-1.727564,61500.0
BD232UN,53.957856,-2.018103,116000.0
BD135BA,53.824000,-1.893992,129750.0
BD194AP,53.738081,-1.693154,450000.0
BD159AD,53.815648,-1.842738,247500.0
BD146JL,53.779356,-1.817516,60000.0
BD94BA,53.815919,-1.784916,56000.0
BD73NB,53.778340,-1.779842,88000.0
BD205TE,53.874779,-1.849285,235000.0
BD94BT,53.817280,-1.787430,62500.0
BD207PG,53.891689,-1.993911,110000.0
BD208JY,53.915416,-2.013410,152000.0
BD229DG,53.835684,-1.930402,137500.0
BD208JQ,53.913889,-2.012724,515000.0
BD161LU,53.838288,-1.828581,112500.0
BD226QY,53.866086,-1.923554,75500.0
BD24RJ,53.804661,-1.733332,55000.0
BD227HN,53.846262,-1.946967,119000.0
BD193TR,53.730279,-1.722540,173750.0
BD163PU,53.851823,-1.816137,220000.0
BD38QT,53.794973,-1.725849,45500.0
BD229DR,53.836540,-1.934412,110000.0
BD206JP,53.872897,-1.921321,120000.0
BD108WG,53.837913,-1.748317,155000.0
BD108WF,53.839215,-1.747519,232000.0
BD21PJ,53.828559,-1.749498,130000.0
BD21PN,53.828725,-1.747081,120000.0
BD214PR,53.865330,-1.898146,45000.0
BD207QN,53.893954,-1.997243,139000.0
BD109DW,53.831970,-1.726657,115000.0
BD21PP,53.828414,-1.748952,120700.0
BD200JP,53.915992,-1.933649,190000.0
BD132HX,53.766168,-1.855301,145000.0
BD95AU,53.807926,-1.783590,110000.0
BD95AP,53.807766,-1.784821,75000.0
BD40BH,53.775251,-1.709149,77000.0
BD200JZ,53.915804,-1.935050,123000.0
BD62AR,,,199950.0
BD95JS,53.810243,-1.797823,117000.0
BD100UJ,53.835758,-1.713275,247000.0
BD181PG,53.826437,-1.753612,113000.0
BD72BB,53.791530,-1.782687,110000.0
BD164NU,53.850625,-1.832787,121000.0
BD164NP,53.849634,-1.830861,109290.0
BD175LZ,53.853681,-1.772530,144500.0
BD181PQ,53.827069,-1.754885,77500.0
BD181PT,53.825550,-1.750291,125000.0
BD215EW,53.851836,-1.917895,37000.0
BD132AL,53.765792,-1.849568,100000.0
BD100UR,53.835734,-1.710388,173000.0
BD23HE,53.812064,-1.723627,145000.0
BD59NL,53.774586,-1.762625,74500.0
BD182BB,53.826357,-1.776932,96000.0
BD182BE,53.825084,-1.773734,50000.0
BD131ER,53.773298,-1.823459,128000.0
BD72PU,53.787862,-1.791965,56000.0
BD232QN,53.951161,-2.014169,108500.0
BD214BE,53.871296,-1.895713,70650.0
BD22HW,53.819924,-1.725793,154000.0
BD146QD,53.778379,-1.825684,270000.0
BD235BA,54.073887,-1.997050,219000.0
BD231PJ,53.962574,-2.023836,275000.0
BD108XB,53.832428,-1.738794,250000.0
BD157BD,53.805478,-1.819908,95000.0
BD108XN,53.831620,-1.739361,167000.0
BD207JH,53.893450,-1.988920,153000.0
BD212QW,53.867187,-1.916435,50000.0
BD194LE,53.738079,-1.688727,433000.0
BD175LA,53.840044,-1.771479,100000.0
BD205SL,53.873848,-1.852680,135500.0
BD96RS,53.808378,-1.806168,225000.0
BD96RR,53.808703,-1.807184,65000.0
BD108ND,53.836496,-1.732857,75000.0
BD21ES,53.815759,-1.748982,99000.0
BD206QG,53.895068,-1.951820,100000.0
BD131NU,53.773419,-1.860951,97500.0
BD21EX,53.814750,-1.747818,125000.0
BD228JJ,53.831234,-1.946028,84500.0
BD175LS,53.853590,-1.776893,177000.0
BD132SP,53.762227,-1.851856,118000.0
BD193UH,53.733534,-1.723095,180000.0
BD120TN,53.754746,-1.770122,125000.0
BD215BU,53.853119,-1.913894,49000.0
BD61ED,53.760752,-1.766464,79950.0
BD61EF,53.760962,-1.768010,81000.0
BD87BS,53.807753,-1.763288,165000.0
BD206AN,53.877950,-1.910664,69000.0
BD58BZ,53.775157,-1.747144,69000.0
BD150AE,53.824253,-1.859522,242500.0
BD159LA,53.817094,-1.835092,192000.0
BD23JT,53.808398,-1.724273,95000.0
BD23JY,53.811103,-1.724241,114950.0
BD50NN,53.782368,-1.766193,72000.0
BD159LR,53.816250,-1.835536,163000.0
BD209BN,53.910716,-1.987302,190000.0
BD131DT,53.770704,-1.826080,96000.0
BD58PE,53.775674,-1.749357,65000.0
BD161UP,53.825688,-1.817147,133500.0
BD39NU,53.795210,-1.727062,80000.0
BD206DY,53.873872,-1.927890,185000.0
BD193PD,53.727115,-1.714649,75000.0
BD164AZ,53.859739,-1.832964,270000.0
BD206DA,53.881901,-1.917699,148000.0
BD200PR,53.914190,-1.941766,122000.0
BD39NA,53.792916,-1.729976,58000.0
BD196LL,53.717356,-1.739262,122000.0
BD87PU,53.808010,-1.775283,90000.0
BD40TL,53.779370,-1.706830,76000.0
BD236RW,53.978529,-1.989981,110000.0
BD87PY,53.808259,-1.773976,40000.0
BD108SU,53.827295,-1.734040,194000.0
BD213BW,53.873651,-1.907358,80000.0
BD184EH,53.834562,-1.802294,368000.0
BD205JB,53.875016,-1.852205,177000.0
BD164SJ,53.859060,-1.836160,238000.0
BD249DJ,54.067014,-2.277402,224500.0
BD133QZ,53.794207,-1.860594,75000.0
BD128DB,53.747163,-1.771437,135000.0
BD129QH,53.743301,-1.763695,78000.0
BD205AP,53.878174,-1.887711,148000.0
BD24DQ,53.813529,-1.743983,71300.0
BD47JZ,53.782581,-1.738905,51000.0
BD184LD,53.832026,-1.801105,365000.0
BD24HE,53.815998,-1.738683,95000.0
BD184LR,53.836332,-1.791193,224000.0
BD63PS,53.765034,-1.787997,135000.0
BD206RJ,53.895884,-1.946691,144000.0
BD74HZ,53.773867,-1.786465,50000.0
BD96QR,53.818187,-1.814203,117000.0
BD206RL,53.896226,-1.948045,97666.66666666667
BD161RR,53.829349,-1.831701,73000.0
BD208QE,53.899572,-2.001275,95000.0
BD132PW,53.769275,-1.846233,72000.0
BD132PU,53.769520,-1.847689,40000.0
BD89PT,53.803485,-1.793224,107000.0
BD181JL,53.830242,-1.759135,108000.0
BD206RP,53.896423,-1.946249,146500.0
BD161RE,53.830227,-1.836301,134500.0
BD132PY,53.768629,-1.847009,45000.0
BD46JY,53.767890,-1.724538,95000.0
BD194BB,53.742889,-1.692543,190000.0
BD228DU,53.831939,-1.957013,108000.0
BD232TS,53.961731,-2.001949,191000.0
BD195JN,53.719924,-1.714304,120000.0
BD183RN,53.831921,-1.776978,70000.0
BD232TH,53.956992,-2.024168,102000.0
BD182EN,53.828371,-1.767760,69000.0
BD232TF,53.956255,-2.025554,133750.0
BD181JS,53.830307,-1.755853,109950.0
BD61RT,53.769528,-1.777931,96500.0
BD88PE,53.801143,-1.775487,78000.0
BD30LF,53.808070,-1.738489,75000.0
BD194PX,53.730537,-1.684993,270000.0
BD63BW,53.768821,-1.784716,45000.0
BD30LT,53.805659,-1.745975,105000.0
BD213ET,53.871949,-1.903012,70000.0
BD194PH,53.730084,-1.690408,119950.0
BD177LH,53.852747,-1.750387,207500.0
BD233SX,53.934999,-2.141041,250000.0
BD231BN,53.966081,-2.004663,160000.0
BD228AP,53.825969,-1.951565,95878.0
BD233SL,53.985783,-2.102982,129000.0
BD232JS,53.961182,-2.008564,159000.0
BD100JF,53.814875,-1.711443,74250.0
BD39EJ,53.797181,-1.728233,65000.0
BD112PQ,53.744448,-1.687209,92000.0
BD177LP,53.841793,-1.783795,124000.0
BD150EH,53.824310,-1.862925,174000.0
BD205ED,53.876301,-1.884156,152000.0
BD15AW,53.794147,-1.746348,50500.0
BD205EA,53.876435,-1.883396,115000.0
BD207DQ,53.902141,-1.985493,161000.0
BD228RF,53.835995,-1.940871,155000.0
BD205EJ,53.875562,-1.882151,102000.0
BD205EU,53.876994,-1.875987,187000.0
BD206TX,53.895204,-1.953220,114000.0
BD228RQ,53.830999,-1.943172,152500.0
BD100DS,53.827448,-1.710871,69995.0
BD150EU,53.829016,-1.866875,185000.0
BD209NN,53.917595,-1.938396,125000.0
BD109BT,53.829589,-1.719152,70000.0
BD200LQ,53.908637,-1.927830,183000.0
BD74BD,53.777261,-1.800181,90000.0
BD129AD,53.729211,-1.774642,105000.0
BD146BJ,53.785474,-1.821769,113000.0
BD209NG,53.917899,-1.936371,116000.0
BD209NB,53.915465,-1.938597,197000.0
BD235NE,54.076862,-2.004768,247000.0
BD207DX,53.905880,-1.986877,150000.0
BD109BA,53.831476,-1.715097,135000.0
BD74BT,53.779790,-1.802111,120500.0
BD62ND,53.759359,-1.780836,97500.0
BD100TR,53.841220,-1.747842,143500.0
BD205NS,53.866888,-1.856567,183500.0
BD200BY,53.913546,-1.948343,150000.0
BD23TE,53.819047,-1.715728,76000.0
BD207NP,53.889586,-1.994322,163000.0
BD157TP,53.798434,-1.821623,48500.0
BD108BL,53.823766,-1.723520,78000.0
BD236DA,54.037363,-1.920037,388000.0
BD214AT,53.873506,-1.894400,37000.0
BD249HB,54.066912,-2.274926,105000.0
